ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-31,32303.446177474998,5231.808827276174,23779.64537445156,32303.446177474998,32303.446177474998,-17512.895193644286,-17512.895193644286,-17512.895193644286,-17512.895193644286,-17512.895193644286,-17512.895193644286,0.0,0.0,0.0,14790.550983830712
2014-02-28,32773.35106352465,-3329.0774778458917,15137.694345909747,32773.35106352465,32773.35106352465,-26994.700230363724,-26994.700230363724,-26994.700230363724,-26994.700230363724,-26994.700230363724,-26994.700230363724,0.0,0.0,0.0,5778.650833160926
2014-03-31,33293.60289999318,32496.516002899236,51047.19966506269,33293.60289999318,33293.60289999318,8581.936343506544,8581.936343506544,8581.936343506544,8581.936343506544,8581.936343506544,8581.936343506544,0.0,0.0,0.0,41875.53924349973
2014-04-30,33797.07241915628,16167.222425257862,35178.28524477809,33797.07241915628,33797.07241915628,-8134.451140162216,-8134.451140162216,-8134.451140162216,-8134.451140162216,-8134.451140162216,-8134.451140162216,0.0,0.0,0.0,25662.621278994062
2014-05-31,34317.32425249421,16104.318172880288,35034.41928633501,34317.32425249421,34317.32425249421,-8605.359945120888,-8605.359945120888,-8605.359945120888,-8605.359945120888,-8605.359945120888,-8605.359945120888,0.0,0.0,0.0,25711.964307373324
2014-06-30,34820.7937672366,16535.95639185464,36245.88462986445,34820.7937672366,34820.7937672366,-8109.004659143108,-8109.004659143108,-8109.004659143108,-8109.004659143108,-8109.004659143108,-8109.004659143108,0.0,0.0,0.0,26711.789108093493
2014-07-31,35341.04559913708,16920.425463761316,36150.502174407804,35341.04559913708,35341.04559913708,-8902.851372267422,-8902.851372267422,-8902.851372267422,-8902.851372267422,-8902.851372267422,-8902.851372267422,0.0,0.0,0.0,26438.194226869662
2014-08-31,35861.29742770311,21531.875239830486,39811.324238247114,35861.29742770311,35861.29742770311,-5004.60894708782,-5004.60894708782,-5004.60894708782,-5004.60894708782,-5004.60894708782,-5004.60894708782,0.0,0.0,0.0,30856.68848061529
2014-09-30,36364.76694259139,58415.341410559035,76919.85446837531,36364.76694259139,36364.76694259139,31256.16455264144,31256.16455264144,31256.16455264144,31256.16455264144,31256.16455264144,31256.16455264144,0.0,0.0,0.0,67620.93149523283
2014-10-31,36885.01877464263,26982.79253015657,45362.406489007924,36885.01877464263,36885.01877464263,-807.5145052225582,-807.5145052225582,-807.5145052225582,-807.5145052225582,-807.5145052225582,-807.5145052225582,0.0,0.0,0.0,36077.504269420075
2014-11-30,37388.488291026966,69016.22632185226,87352.72877455756,37388.488291026966,37388.488291026966,40912.898452382724,40912.898452382724,40912.898452382724,40912.898452382724,40912.898452382724,40912.898452382724,0.0,0.0,0.0,78301.38674340969
2014-12-31,37908.74012838757,60555.91379248162,79476.97629732944,37908.74012838757,37908.74012838757,32082.778539256306,32082.778539256306,32082.778539256306,32082.778539256306,32082.778539256306,32082.778539256306,0.0,0.0,0.0,69991.51866764388
2015-01-31,38428.99196574818,9752.625807570694,27953.479187044715,38428.99196574818,38428.99196574818,-19690.655178827335,-19690.655178827335,-19690.655178827335,-19690.655178827335,-19690.655178827335,-19690.655178827335,0.0,0.0,0.0,18738.336786920845
2015-02-28,38898.896856161155,4661.444157312399,22740.910104207043,38898.896856161155,38898.896856161155,-25018.065134960285,-25018.065134960285,-25018.065134960285,-25018.065134960285,-25018.065134960285,-25018.065134960285,0.0,0.0,0.0,13880.83172120087
2015-03-31,39419.164460045235,40527.032718592935,59064.298228056534,39419.164460045235,39419.164460045235,10179.666774043775,10179.666774043775,10179.666774043775,10179.666774043775,10179.666774043775,10179.666774043775,0.0,0.0,0.0,49598.83123408901
2015-04-30,39922.649237997575,25258.58946033793,44067.994830613665,39922.649237997575,39922.649237997575,-5346.726656499787,-5346.726656499787,-5346.726656499787,-5346.726656499787,-5346.726656499787,-5346.726656499787,0.0,0.0,0.0,34575.92258149779
2015-05-31,40443.86669627779,16362.172571414985,36102.7467794951,40443.86669627779,40443.86669627779,-14056.209310390499,-14056.209310390499,-14056.209310390499,-14056.209310390499,-14056.209310390499,-14056.209310390499,0.0,0.0,0.0,26387.657385887294
2015-06-30,40948.342907871556,22083.572313876968,41296.190706245456,40948.342907871556,40948.342907871556,-9862.354934686222,-9862.354934686222,-9862.354934686222,-9862.354934686222,-9862.354934686222,-9862.354934686222,0.0,0.0,0.0,31085.987973185336
2015-07-31,41469.63499318511,24316.941369324937,42641.359937808455,41469.63499318511,41469.63499318511,-8213.845777635906,-8213.845777635906,-8213.845777635906,-8213.845777635906,-8213.845777635906,-8213.845777635906,0.0,0.0,0.0,33255.7892155492
2015-08-31,41993.24037222416,31845.5145003802,50983.6895462109,41993.24037222416,41993.24037222416,-1328.8433913150666,-1328.8433913150666,-1328.8433913150666,-1328.8433913150666,-1328.8433913150666,-1328.8433913150666,0.0,0.0,0.0,40664.39698090909
2015-09-30,42506.00446841857,67180.67397034033,85717.62138349308,42506.00446841857,42506.00446841857,33985.88470813139,33985.88470813139,33985.88470813139,33985.88470813139,33985.88470813139,33985.88470813139,0.0,0.0,0.0,76491.88917654996
2015-10-31,43035.86070115281,26773.938788603453,44614.44527247068,43035.86070115281,43035.86070115281,-7051.554366184984,-7051.554366184984,-7051.554366184984,-7051.554366184984,-7051.554366184984,-7051.554366184984,0.0,0.0,0.0,35984.30633496783
2015-11-30,43550.94972770181,77611.28981666666,95463.62981006026,43550.94972770181,43550.94972770181,43370.293231313,43370.293231313,43370.293231313,43370.293231313,43370.293231313,43370.293231313,0.0,0.0,0.0,86921.24295901481
2015-12-31,44269.85505848146,67089.97457275468,85329.78224973839,44269.85505848146,44269.85505848146,31650.695671698166,31650.695671698166,31650.695671698166,31650.695671698166,31650.695671698166,31650.695671698166,0.0,0.0,0.0,75920.55073017962
2016-01-31,44988.76038926111,14467.430536126716,32434.68325457135,44988.76038926111,44988.76038926111,-21823.472369096515,-21823.472369096515,-21823.472369096515,-21823.472369096515,-21823.472369096515,-21823.472369096515,0.0,0.0,0.0,23165.288020164593
2016-02-29,45661.75035664737,5055.4847077143695,24303.057115271513,45661.75035664737,45661.75035664737,-30759.560693852593,-30759.560693852593,-30759.560693852593,-30759.560693852593,-30759.560693852593,-30759.560693852593,0.0,0.0,0.0,14902.189662794775
2016-03-31,46382.514666567986,41771.00264430422,61180.89368680147,46382.514666567986,46382.514666567986,5341.49961668224,5341.49961668224,5341.49961668224,5341.49961668224,5341.49961668224,5341.49961668224,0.0,0.0,0.0,51724.014283250224
2016-04-30,47080.028514878264,23328.692420539006,42221.45827945033,47080.028514878264,47080.028514878264,-14063.836656203439,-14063.836656203439,-14063.836656203439,-14063.836656203439,-14063.836656203439,-14063.836656203439,0.0,0.0,0.0,33016.19185867482
2016-05-31,47800.94998111632,41062.33438447273,59383.36023481468,47800.94998111632,47800.94998111632,2067.320129816212,2067.320129816212,2067.320129816212,2067.320129816212,2067.320129816212,2067.320129816212,0.0,0.0,0.0,49868.27011093253
2016-06-30,48498.661678212695,35343.726113862795,53347.95894967143,48498.661678212695,48498.661678212695,-4310.911036583947,-4310.911036583947,-4310.911036583947,-4310.911036583947,-4310.911036583947,-4310.911036583947,0.0,0.0,0.0,44187.75064162875
2016-07-31,49219.63043187893,30496.0425814442,48643.22972632036,49219.63043187893,49219.63043187893,-9931.910336534416,-9931.910336534416,-9931.910336534416,-9931.910336534416,-9931.910336534416,-9931.910336534416,0.0,0.0,0.0,39287.72009534451
2016-08-31,49941.29287092511,28155.0965281846,46887.19197495372,49941.29287092511,49941.29287092511,-12240.879472992596,-12240.879472992596,-12240.879472992596,-12240.879472992596,-12240.879472992596,-12240.879472992596,0.0,0.0,0.0,37700.41339793251
2016-09-30,50639.90498502887,66537.94234564164,85269.85365247914,50639.90498502887,50639.90498502887,25356.63296738388,25356.63296738388,25356.63296738388,25356.63296738388,25356.63296738388,25356.63296738388,0.0,0.0,0.0,75996.53795241275
2016-10-31,51361.80416960277,53819.11472823806,72375.87690852798,51361.80416960277,51361.80416960277,11594.151639793963,11594.151639793963,11594.151639793963,11594.151639793963,11594.151639793963,11594.151639793963,0.0,0.0,0.0,62955.955809396735
2016-11-30,52060.416283888364,78851.40461708311,97404.93831350454,52060.416283888364,52060.416283888364,36121.43118371413,36121.43118371413,36121.43118371413,36121.43118371413,36121.43118371413,36121.43118371413,0.0,0.0,0.0,88181.84746760249
2016-12-31,52782.31554591452,76377.43811392796,95090.07916377058,52782.31554591452,52782.31554591452,32825.74890800415,32825.74890800415,32825.74890800415,32825.74890800415,32825.74890800415,32825.74890800415,0.0,0.0,0.0,85608.06445391866
2017-01-31,53504.21480794066,28794.789626202404,47135.9496440698,53504.21480794066,53504.21480794066,-15292.96720289366,-15292.96720289366,-15292.96720289366,-15292.96720289366,-15292.96720289366,-15292.96720289366,0.0,0.0,0.0,38211.247605047
2017-02-28,54156.252852106816,16036.609412050095,35147.703296630454,54156.252852106816,54156.252852106816,-28909.45355340667,-28909.45355340667,-28909.45355340667,-28909.45355340667,-28909.45355340667,-28909.45355340667,0.0,0.0,0.0,25246.799298700145
2017-03-31,54878.15211947931,52077.572637590325,70727.00143011648,54878.15211947931,54878.15211947931,6968.055868812759,6968.055868812759,6968.055868812759,6968.055868812759,6968.055868812759,6968.055868812759,0.0,0.0,0.0,61846.207988292066
2017-04-30,55576.764313710744,34761.03141017468,53287.04552339296,55576.764313710744,55576.764313710744,-11040.868607558185,-11040.868607558185,-11040.868607558185,-11040.868607558185,-11040.868607558185,-11040.868607558185,0.0,0.0,0.0,44535.89570615256
2017-05-31,56298.66358108324,44403.080736803895,62272.70393979893,56298.66358108324,56298.66358108324,-3228.783996272852,-3228.783996272852,-3228.783996272852,-3228.783996272852,-3228.783996272852,-3228.783996272852,0.0,0.0,0.0,53069.879584810384
2017-06-30,56997.27577531467,41092.210171988794,59176.50721934431,56997.27577531467,56997.27577531467,-6257.348578722286,-6257.348578722286,-6257.348578722286,-6257.348578722286,-6257.348578722286,-6257.348578722286,0.0,0.0,0.0,50739.92719659238
2017-07-31,57719.17504268717,38858.34574984896,58299.820567797025,57719.17504268717,57719.17504268717,-9475.939168268878,-9475.939168268878,-9475.939168268878,-9475.939168268878,-9475.939168268878,-9475.939168268878,0.0,0.0,0.0,48243.23587441829
